trial_id,testbed,group,attack_id,template_id,attacker_goal_selected,monitor_decision,relation_decision,gateway_decision,service_effect,reject_reason,statement_digest,evidence_class
cloud-A1-001,cloud,G1,A1,cloud-A1-template-00,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,a373e07ab43296807fc199488be3cef1c5586cb243deaf2ec8030b5e49637845,executed_reference_runtime
cloud-A1-002,cloud,G1,A1,cloud-A1-template-01,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,3499cd899d655131080f75bc95be6787f362789ccd048fc100210178d2018e71,executed_reference_runtime
cloud-A1-003,cloud,G1,A1,cloud-A1-template-02,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,8d99b2dddfac50f85e3710fe25b85e893986725e381ac9245ba8a47c52440e08,executed_reference_runtime
cloud-A1-004,cloud,G1,A1,cloud-A1-template-03,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,4328b1fd547d852f30589fd040246778c90464dbf61b3a17eab5f10d0bcd52f8,executed_reference_runtime
cloud-A1-005,cloud,G1,A1,cloud-A1-template-04,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,c37c91ec9335470ea9ca7c5979da18426dc104419cb288717d9698f6168e3631,executed_reference_runtime
cloud-A1-006,cloud,G1,A1,cloud-A1-template-05,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,88736dbcbd43c8e6e65f81b475b940100d0d587a4c5873b0217022ca2d940621,executed_reference_runtime
cloud-A1-007,cloud,G1,A1,cloud-A1-template-06,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,3411c96f3a3dc87dfbfbdcf990538bfa3cec23258b4703b55c00db5edc338600,executed_reference_runtime
cloud-A1-008,cloud,G1,A1,cloud-A1-template-07,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,bbbad53316ff62a99bc51a31770cd70a98b9f8aed0b677641f20eb526d88f09a,executed_reference_runtime
cloud-A1-009,cloud,G1,A1,cloud-A1-template-08,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,02afed3df97d845ea66656743c09f7e6d31c2d46e1412a02e38c5dee7dc3b32d,executed_reference_runtime
cloud-A1-010,cloud,G1,A1,cloud-A1-template-09,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,d8d12c38035840e9fc01e14808f26e5f7b649f7c8b03c544fb1fc206014cb92f,executed_reference_runtime
cloud-A1-011,cloud,G1,A1,cloud-A1-template-10,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,13776d845ef7eceb354b2fd8a1587b74581bf58c045a97ab4d3a9b40fdbe3d33,executed_reference_runtime
cloud-A1-012,cloud,G1,A1,cloud-A1-template-11,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,b117c5046dfa9f6ca19b488873832f78ca749784264639dcd070a18b897fe42b,executed_reference_runtime
cloud-A1-013,cloud,G1,A1,cloud-A1-template-12,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,f0fdb2f012dcf8a4e3b7af75e927c534bb11c573815a8d9aa5ce5b1847a02320,executed_reference_runtime
cloud-A1-014,cloud,G1,A1,cloud-A1-template-13,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,c97d66e0d555e44533c4d91584797557abdae4b756b644d6e2d91d68d503b9e6,executed_reference_runtime
cloud-A1-015,cloud,G1,A1,cloud-A1-template-14,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,f202fc65506cb2958dae661bf6ef05ba8ad01d7bf0b658b24fb569f5aa680891,executed_reference_runtime
cloud-A1-016,cloud,G1,A1,cloud-A1-template-15,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,cbc8475bec0c272a36ad5b4b1431f299ce939cb0554ea7244ee3c8ef81ba6f3b,executed_reference_runtime
cloud-A1-017,cloud,G1,A1,cloud-A1-template-16,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,97d739f2f4347dfb1efe4c57f9d43afc2471f45f51f6d12d6d381b57510ff6f4,executed_reference_runtime
cloud-A1-018,cloud,G1,A1,cloud-A1-template-17,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,1e068eb5806af2d80e4820a00a9ca07fcdaaede1188f3739cdf4200a3c2ea878,executed_reference_runtime
cloud-A1-019,cloud,G1,A1,cloud-A1-template-18,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,28fb7449b4654989ce67067eebcca547215dca4c4c3217e25088a813b7d9de80,executed_reference_runtime
cloud-A1-020,cloud,G1,A1,cloud-A1-template-19,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,ce28eba351d04f830dc835f04ca3088b0c354b61e4b240780098c1378f923ee7,executed_reference_runtime
cloud-A1-021,cloud,G1,A1,cloud-A1-template-20,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,61b8955fce32638fc1385e91c7dee4a99a6ba0a150cf68e85bc5dd43567e8b35,executed_reference_runtime
cloud-A1-022,cloud,G1,A1,cloud-A1-template-21,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,1a494d06f3beab07229c7ca23d280ec9797cf8aac265ed5cad169666340823ee,executed_reference_runtime
cloud-A1-023,cloud,G1,A1,cloud-A1-template-22,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,c3fcd58a79f15b47cd278540074dbcc56e4a6a97a6a91cd8f438f2385c70b03a,executed_reference_runtime
cloud-A1-024,cloud,G1,A1,cloud-A1-template-23,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,4b8b579512964d19b7e4989307522986defa6a9c51d235ad7dc91563779815da,executed_reference_runtime
cloud-A1-025,cloud,G1,A1,cloud-A1-template-24,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,2f527cc03e5a010413fdddd06677a21f4ab3d1f89a0244e05f0da520e9bb053e,executed_reference_runtime
