trial_id,initial_policy_decision,final_policy_decision,evidence_class
benign-0001,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0002,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0003,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0004,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0005,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0006,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0007,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0008,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0009,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0010,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0011,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0012,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0013,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0014,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0015,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0016,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0017,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0018,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0019,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0020,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0021,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0022,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0023,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0024,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0025,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0026,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0027,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0028,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0029,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0030,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0031,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0032,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0033,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0034,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0035,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0036,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0037,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0038,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0039,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0040,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0041,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0042,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0043,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0044,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0045,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0046,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0047,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0048,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0049,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0050,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0051,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0052,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0053,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0054,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0055,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0056,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0057,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0058,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0059,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0060,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0061,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0062,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0063,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0064,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0065,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0066,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0067,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0068,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0069,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0070,deny,permit,deterministic_derivation_from_manuscript_summary
benign-0071,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0072,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0073,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0074,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0075,permit,permit,deterministic_derivation_from_manuscript_summary
benign-0076,permit,permit,deterministic_derivation_from_manuscript_summary
