baseline_id,baseline,trial_id,group,attack_id,service_effect,evidence_class
B0,Workload identity + ABAC [21],cloud-A1-001,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-002,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-003,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-004,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-005,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-006,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-007,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-008,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-009,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-010,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-011,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-012,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-013,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-014,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-015,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-016,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-017,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-018,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-019,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-020,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-021,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-022,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-023,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-024,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-025,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-026,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-027,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-028,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-029,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-030,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-031,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-032,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-033,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-034,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-035,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-036,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-037,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-038,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-039,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-040,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-041,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-042,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-043,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-044,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-045,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-046,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-047,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-048,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-049,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-050,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-051,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-052,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-053,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-054,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-055,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-056,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-057,G1,A1,false,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-058,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-059,G1,A1,true,deterministic_derivation_from_manuscript_summary
B0,Workload identity + ABAC [21],cloud-A1-060,G1,A1,true,deterministic_derivation_from_manuscript_summary
