mechanism,trial_id,service_effect,predicate,evidence_class
Speranza-style,digest-001,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-002,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-003,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-004,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-005,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-006,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-007,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-008,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-009,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-010,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-011,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-012,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-013,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-014,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-015,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-016,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-017,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-018,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-019,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-020,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-021,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-022,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-023,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-024,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-025,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-026,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-027,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-028,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-029,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-030,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-031,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-032,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-033,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-034,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-035,true,signed_request,deterministic_derivation_from_manuscript_summary
Speranza-style,digest-036,true,signed_request,deterministic_derivation_from_manuscript_summary
